Year Added	Street	Cross Streets	Type	Street Distance (Miles)	Protected Bike Lane (Miles)	Bike Lane Distance (Miles)	Shared Lane Marking Distance (Miles)	Neighborway (Miles)	Removed bike lane	Removed sharrow	Year Total	Bike Lane Total (BL+PBL)	Sharrow year total	Neighborway year total
	Wood St	Ft Pitt to 3rd Ave	SH	0.1			0.1							
	Ft Pitt	Smithfield to Wood	SH	0.1			0.1							
	3rd Ave	Stanwix to Smithfield	BL/SH	0.3		0.3	0.3							
2019														
	Blair St	Hazelwood Ave to trail	PBL	1.2	2.4						5.8	5.5	0.3	
	Hazelwood Ave	Blair St to Second Ave	Bike Lane	0.2		0.4								
	Forbes Ave	Craig St to Margaret Morrison	Bike Lane	0.6		1.2								
	Broad St	Centre Ave to East Liberty Blvd	Bike Lane	0.5		1								
	East St	Evergreen to Perrysville	Bike Lane	0.5		0.5								
	Black St	Aiken to Negley	SH	0.3			0.3							
2020														
	Lytle St	Hazelwood Ave to Beehive	PBL	0.5	1	1					7.9	3.2		4.7
	South Side Neighborway	10th St to SouthSide Works	NBW	0.9				0.9						
	Central Lawrenceville Neighborway	40th St to 50th St	NBW	0.8				0.8						
	Marshall	Brighton to Linwood	Bike Lane	0.6		0.6								
	Bloomfield-Friendship Neighborway	Friendship to Negley	NBW	1.1				1.1						
	Euclid Neighborway	ELB to Bunkerhill	NBW	0.9				0.9						
	Stanwix St	3rd Ave to Penn Ave	PBL	0.15	0.3									
	Liberty Ave	Stanwix to Point State Park	PBL	0.15	0.3									
	Melwood Gold Neighborway	Herron to Baum	NBW	1				1						
	6th Street	Ft. Duquesne to Penn	SH				0.1		0.1					
2021														
	Negley Run Blvd	Washington to ELB	PBL	0.7	0.7	1.4					15.8	7.4	2.5	5.9
	Reynolds Neighborway	Mellon Park to Hawthorne Trail	NBW	1.1				1.1						
	Smallman	17th to 21st	Bike Lane	0.2		0.4								
	Brighton Rd	Ridge to North	PBL	0.2	0.2	0.4								
	Brighton Rd	North to Charles	Bike Lane	0.4		0.8								
	Columbus Ave	Fulton to California	Bike Lane	0.1		0.2								
	California	Marshall to Brighton	Bike Lane	0.8		1.6								
	W Ohio St	Merchant to W Commons	Bike Lane	0.1		0.2								
	East Liberty Blvd	Hamilton to Frankstown	Bike Lane	0.1		0.1								
	Serpentine	Bartlett to E Circuit	SH/PBL	0.25	0.25		0.25							
	Pennsylvania	Allegheny to Brighton	Bike Lane	0.25		0.5								
	Pennsylvania	Manhattan to Allegheny	NBW	0.33				0.33						
	Juniata	Chateau to Fulton	SH/BL	0.2		0.2	0.2							
	Manhattan	Juniata to Western	NBW	0.5				0.5						
	Fulton	Juniata to Western	NBW	0.5				0.5						
	Allegheny	Pennsylvania to Ridge	NBW	0.4				0.4						
	Federal	Isabella to LaCock	Bike Lane	0.2		0.4								
2022											9.37	4.47	1.8	3.1
	Bartlett St	Murdoch to Shady	Bike Lane	0.6		0.6								
	Melwood Ave	Centre to Bayard	Bike Lane	0.15		0.15								
	S 18th St	Trail to trail	Advisory Bike Lane	0.25		0.5								
	S Aiken Ave	Liberty to Ellsworth	PBL	0.3	0.6									
	Ellsworth	Neville to Shady	NBW	1.6				1.6						
	Stanton	McCandless to Chislett	NBW	1.5		1.22	0.25	1.5						
	Perrysville	Baytree to Charles	Bike Lane/SH	1.6		1.4	1.8							
2023											5.65	2.8	1.1	1.75
	Forbes	Beechwood to Braddock	PBL	0.8	1.6				1.6					
	Beacon 	Beechwood to Bartlett	BL/SH	0.1		0.1	0.1							
	Shaw	Beacon to Beechwood	Sharrow	0.2			0.4							
	Bartlett	Beacon to Shady	Sharrow	0.3			0.3							
	Woods Run	Chateau Trail to Mairdale	NBW	1.75	0.3	0.5		1.75						
	Frew St	Schenley to Tech	PBL/SH	0.3	0.3		0.3							
2024											3.17	2.66	0.51	0
	Friendship Ave	S St. Clair to Baum	BL/SH	0.06		0.06	0.06							
	S Euclid Ave	Centre to Penn	PBL/BL	0.26	0.5	0.1								
	N Euclid Ave	Penn to Station	PBL	0.16	0.32									
	Station Street	N Euclid to Highland	PBL/BL	0.2	0.4	0.1								
	Penn Ave	Negley to Euclid	PBL/BL	0.15	0.15	0.15								
	Greenfield Ave	Saline to Winterburn	BL/SH	0.76		0.2	0.56							
	Stanton Ave	Chislett to Highland	PBL/BL	0.57	0.14	0.43								
	Morewood Ave	Fifth Ave to Forbes Ave	BL/SH	0.11		0.11				0.11				
														
														
		Total 1980-83 (before BikePGH existed)				10.67					10.67			
		Total 2007-present		61.58	16.42	48.47	38.26	12.38	3.5	5.01	107.02			
		Total 1980-present		71.11	16.42	59.14	38.26	12.38	3.5	5.01	117.69	73.41	42.55	15.48
